Participant,Item,Preview,Predictability,Condition,FFD,GD
y15wrx,10,I,L,IL,238,238
y15wrx,14,I,L,IL,NA,NA
y15wrx,16,I,L,IL,321,321
y15wrx,17,I,L,IL,NA,NA
y15wrx,20,I,L,IL,201,201
y15wrx,22,V,L,VL,NA,NA
y15wrx,23,V,L,VL,NA,NA
y15wrx,25,V,L,VL,NA,NA
y15wrx,26,V,L,VL,NA,NA
y15wrx,28,V,L,VL,177,177
y15wrx,30,V,L,VL,NA,NA
y15wrx,31,V,L,VL,NA,NA
y15wrx,34,V,L,VL,NA,NA
y15wrx,36,V,L,VL,196,196
y15wrx,37,V,L,VL,NA,NA
y15wrx,39,V,L,VL,NA,NA
y15wrx,41,I,H,IH,222,222
y15wrx,43,I,H,IH,NA,NA
y15wrx,44,I,H,IH,NA,NA
y15wrx,45,I,H,IH,248,248
y15wrx,47,I,H,IH,NA,NA
y15wrx,48,I,H,IH,NA,NA
y15wrx,49,I,H,IH,NA,NA
y15wrx,50,I,H,IH,NA,NA
y15wrx,52,I,H,IH,200,200
y15wrx,53,I,H,IH,NA,NA
y15wrx,54,I,H,IH,NA,NA
y15wrx,55,I,H,IH,218,218
y15wrx,57,I,H,IH,NA,NA
y15wrx,58,I,H,IH,NA,NA
y15wrx,59,I,H,IH,NA,NA
y15wrx,63,V,H,VH,NA,NA
y15wrx,64,V,H,VH,NA,NA
y15wrx,65,V,H,VH,NA,NA
y15wrx,67,V,H,VH,NA,NA
y15wrx,68,V,H,VH,191,191
y15wrx,71,V,H,VH,NA,NA
y15wrx,72,V,H,VH,175,175
y15wrx,75,V,H,VH,NA,NA
y15wrx,76,V,H,VH,269,269
y15wrx,77,V,H,VH,NA,NA
y17jyy,3,I,H,IH,NA,NA
y17jyy,4,I,H,IH,179,179
y17jyy,6,I,H,IH,241,241
y17jyy,7,I,H,IH,NA,NA
y17jyy,10,I,H,IH,NA,NA
y17jyy,11,I,H,IH,276,276
y17jyy,12,I,H,IH,306,306
y17jyy,14,I,H,IH,332,332
y17jyy,15,I,H,IH,98,98
y17jyy,16,I,H,IH,NA,NA
